Name,Email,Height,shoe_size
Matthew,mills.matthew182@gmail.com,74,13
Matthew,mills.matthew182@gmail.com,74,13
Matthew,mills.matthew182@gmail.com,74,13
Matthew,mills.matthew182@gmail.com,74,13
Jerry Seinfeld,seinfeld@gmail.com,66,9
Matthew,mills.matthew182@gmail.com,74,13
Matthew,mills.matthew182@gmail.com,74,13
Matthew,mills.matthew182@gmail.com,74,13
Matthew,mills.matthew182@gmail.com,74,13
Jerry Seinfeld,seinfeld@gmail.com,66,9

Jerry,Jerryjones@gmail.com,70,13
Jerry,Jerryjones@gmail.com,70,13
Jerry,Jerryjones@gmail.com,70,13
